DEBUG 2024-08-14 08:42:14,764 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\concurrent\futures\thread.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,764 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\email\headerregistry.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,766 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\migrations\executor.py first seen with mtime 1723565336.6554825
DEBUG 2024-08-14 08:42:14,766 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1723565339.186816
DEBUG 2024-08-14 08:42:14,767 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1723565336.850788
DEBUG 2024-08-14 08:42:14,767 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1723565336.3843873
DEBUG 2024-08-14 08:42:14,767 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\http\response.py first seen with mtime 1723565338.4603136
DEBUG 2024-08-14 08:42:14,767 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1723565339.301623
DEBUG 2024-08-14 08:42:14,768 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\functools.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,768 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1723565335.9148934
DEBUG 2024-08-14 08:42:14,768 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1723565336.7273445
DEBUG 2024-08-14 08:42:14,769 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\sqlite3\dbapi2.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,769 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1723565322.8142614
DEBUG 2024-08-14 08:42:14,769 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\asgiref\local.py first seen with mtime 1723565316.8098595
DEBUG 2024-08-14 08:42:14,770 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1723565316.2653916
DEBUG 2024-08-14 08:42:14,770 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1723565339.1002307
DEBUG 2024-08-14 08:42:14,770 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1723565336.372273
DEBUG 2024-08-14 08:42:14,771 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\email\mime\message.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,771 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\gzip.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,771 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\wsgiref\__init__.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,772 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1723565339.299574
DEBUG 2024-08-14 08:42:14,772 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1723565333.4502845
DEBUG 2024-08-14 08:42:14,772 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1723565322.795282
DEBUG 2024-08-14 08:42:14,773 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\asyncio\__init__.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,773 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1723565335.8948917
